package	fan_in	fan_out
internal/store	30	5
internal/plugin	18	7
internal/safego	12	0
internal/agent	11	2
internal/brand	11	0
internal/fsutil	10	0
internal/chat	8	12
internal/mcp	7	8
internal/messaging	7	3
internal/lifecycle	6	1
internal/memory	6	1
internal/permission	6	0
internal/version	6	0
internal/dispatch	5	2
internal/envelope	5	0
internal/pathsafe	5	0
internal/sandbox	5	6
internal/a2a	4	0
internal/agent/reflexes	4	2
internal/agentworkflow	4	0
internal/classify	4	0
internal/config	4	1
internal/context	4	0
internal/coordination	4	1
internal/secrets	4	1
internal/truncate	4	1
pkg/models	4	0
internal/describer	3	0
internal/elicitation	3	0
internal/learnings	3	1
internal/plugin/builtin/adapter-claude	3	3
internal/plugin/builtin/adapter-codex	3	4
internal/plugin/builtin/adapter-gemini	3	4
internal/plugin/builtin/adapter-nanite-native	3	4
internal/plugin/builtin/adapter-opencode	3	4
internal/plugin/devmode	3	0
internal/plugin/subprocess	3	4
internal/providercatalog	3	0
internal/runtime/agent	3	4
internal/selftools	3	22
internal/service	3	64
internal/subagent	3	4
internal/task	3	1
internal/toolclient	3	4
internal/worktree	3	0
internal/api	2	30
internal/background	2	2
internal/contextbroker	2	1
internal/effort	2	0
internal/executor/envelope_render	2	2
internal/filter	2	0
internal/grounding	2	1
internal/inspector	2	0
internal/llm/anthropic	2	1
internal/llm/openai	2	0
internal/mcpconfig	2	1
internal/plugin/catalog	2	1
internal/reminders	2	1
internal/selftools/reactions	2	1
internal/service/install	2	9
internal/skill	2	1
internal/slogx	2	0
internal/store/seedcatalog	2	0
internal/tool	2	0
internal/workflow	2	2
internal/workflowrunner	2	2
internal/workspace	2	0
internal/agent/builtin	1	1
internal/agent/override	1	0
internal/agentvalidation	1	2
internal/assets	1	0
internal/builders	1	1
internal/cli/installcmd	1	1
internal/crossapp	1	0
internal/dispatcher	1	1
internal/loopdetect	1	0
internal/mcpserver	1	6
internal/otel	1	0
internal/plugin/allplugins	1	11
internal/plugin/builtin/agentwidgets	1	1
internal/plugin/builtin/bookmarks	1	1
internal/plugin/builtin/card-rules-demo	1	1
internal/plugin/builtin/contextwidgets	1	1
internal/plugin/builtin/debugwidgets	1	1
internal/plugin/builtin/observabilitywidgets	1	1
internal/plugin/install	1	2
internal/plugin/scaffold	1	0
internal/recover	1	1
internal/recovery	1	0
internal/recovery/broker	1	1
internal/recovery/orphansweep	1	1
internal/recovery/pack	1	1
internal/scheduler	1	3
internal/server	1	7
internal/shell	1	2
internal/tool/intent	1	0
internal/tool/stash	1	1
internal/worker	1	5
pkg/plugin	1	0
cmd/nanite	0	39
cmd/nanite-agent	0	2
internal/skillvendor	0	2
scripts/verify-catalog	0	1
