internal/a2a	406	180	3	1	0
internal/agent	1334	1553	8	8	3
internal/agentvalidation	182	239	1	1	0
internal/agentworkflow	950	736	8	4	0
internal/api	16351	9680	69	46	1
internal/assets	116	101	1	1	1
internal/background	950	803	5	2	0
internal/brand	107	0	1	0	0
internal/builders	580	384	5	1	0
internal/chat	5380	5118	26	26	1
internal/classify	689	525	4	3	0
internal/cli	0	0	0	0	1
internal/config	527	372	3	1	0
internal/context	1426	1558	10	8	0
internal/contextbroker	1908	1363	9	5	0
internal/coordination	222	192	4	1	0
internal/crossapp	114	29	1	1	0
internal/describer	170	80	1	1	0
internal/dispatch	999	770	6	4	0
internal/dispatcher	422	246	2	1	0
internal/effort	238	173	1	1	0
internal/elicitation	503	306	4	1	0
internal/envelope	641	784	2	5	0
internal/eval	383	216	4	1	0
internal/executor	0	0	0	0	1
internal/filter	170	172	1	1	0
internal/fsutil	180	405	1	1	0
internal/grounding	530	361	3	2	0
internal/inspector	446	219	2	1	0
internal/learnings	527	564	1	2	0
internal/lifecycle	159	224	1	2	0
internal/llm	0	0	0	0	2
internal/loopdetect	273	281	2	1	0
internal/mcp	5771	5399	14	20	0
internal/mcpconfig	173	269	1	1	0
internal/mcpserver	406	692	3	4	0
internal/memory	663	510	2	1	0
internal/messaging	1666	2398	11	10	0
internal/otel	65	80	1	1	0
internal/pathsafe	175	143	1	1	0
internal/permission	2189	2329	9	8	0
internal/plugin	6908	4536	23	22	8
internal/providercatalog	94	91	1	1	0
internal/recover	849	854	2	3	0
internal/recovery	57	66	1	1	3
internal/reminders	188	216	1	1	0
internal/runtime	0	0	0	0	1
internal/safego	135	192	1	1	0
internal/sandbox	1509	1552	9	7	0
internal/scheduler	1409	1866	4	4	0
internal/secrets	47	0	1	0	0
internal/selftools	8517	9364	22	34	2
internal/server	811	824	4	4	1
internal/service	31654	33748	83	126	1
internal/shell	179	127	3	1	0
internal/skill	325	335	3	3	0
internal/skillvendor	520	530	4	1	0
internal/slogx	273	170	1	1	0
internal/store	14802	11844	63	70	2
internal/subagent	3269	4941	6	16	0
internal/task	578	280	5	1	0
internal/tool	1109	1141	6	4	2
internal/toolclient	2523	2171	10	10	1
internal/truncate	282	200	1	1	0
internal/version	14	0	1	0	0
internal/worker	576	458	2	3	0
internal/workflow	1264	823	6	2	0
internal/workflowrunner	428	431	2	2	1
internal/workspace	450	480	1	1	0
internal/worktree	239	197	2	1	0
